id,year,month,metro,city,biz,custCnt,powerUsage,bill,unitCost
322,2008,7,전체,전체,"협회단체,수리기타개인서비스업",197147,364450256,41096473658,112.8
323,2008,7,전체,전체,"가구내고용,미분류자가소비생산",845,756110,93687749,123.9
324,2008,7,전체,전체,국제 및 외국기관,251,65742876,5190793312,79.0
325,2008,8,전체,전체,"농업, 임업 및 어업 ",1067031,739493615,31815109151,43.0
326,2008,8,전체,전체,광업 ,2272,114213249,10753252921,94.2
327,2008,8,전체,전체,제조업 ,257311,15451171326,1163554635202,75.3
328,2008,8,전체,전체,"전기, 가스, 증기 및 수도사업 ",56996,739415960,63907673592,86.4
329,2008,8,전체,전체,하수폐기처리원료재생환경복원,29175,356706508,30600534178,85.8
330,2008,8,전체,전체,건설업 ,32308,102389430,12480943940,121.9
331,2008,8,전체,전체,도매 및 소매업,710007,1984308773,221549716196,111.7
332,2008,8,전체,전체,운수업,79131,589954956,49753072511,84.3
333,2008,8,전체,전체,숙박 및 음식점업 ,522860,1469267414,163391963817,111.2
334,2008,8,전체,전체,"출판영상,방송통신정보서비스업",102406,428785912,41509821690,96.8
335,2008,8,전체,전체,금융 및 보험업 ,15010,195367252,20616914590,105.5
336,2008,8,전체,전체,부동산업 및 임대업 ,574489,2406517134,265392298115,110.3
337,2008,8,전체,전체,"전문, 과학 및 기술 서비스업 ",36847,162426857,16658009496,102.6
338,2008,8,전체,전체,"사업시설관리,사업지원서비스업",21783,49881500,5612193273,112.5
339,2008,8,전체,전체,"공공행정, 국방 및 사회보장 행정",24592,305531390,33238008319,108.8
340,2008,8,전체,전체,교육 서비스업,64858,501036358,51422370240,102.6
341,2008,8,전체,전체,보건업 및 사회복지 서비스업,57527,396038559,40139257765,101.4
342,2008,8,전체,전체,"예술,스포츠및여가관련서비스업",81845,445184309,49079314587,110.2
343,2008,8,전체,전체,"협회단체,수리기타개인서비스업",197698,409641812,50888542970,124.2
344,2008,8,전체,전체,"가구내고용,미분류자가소비생산",836,867806,116071377,133.8
345,2008,8,전체,전체,국제 및 외국기관,250,74416869,5928002643,79.7
346,2008,9,전체,전체,"농업, 임업 및 어업 ",1074071,712262324,30840495790,43.3
347,2008,9,전체,전체,광업 ,2265,108858345,8430680172,77.4
348,2008,9,전체,전체,제조업 ,258011,15275889465,936306346454,61.3
349,2008,9,전체,전체,"전기, 가스, 증기 및 수도사업 ",57228,735139327,54347064942,73.9
350,2008,9,전체,전체,하수폐기처리원료재생환경복원,29317,345212775,25768879096,74.6
351,2008,9,전체,전체,건설업 ,32821,93784237,10357764904,110.4
352,2008,9,전체,전체,도매 및 소매업,708518,1781798864,176731687765,99.2
353,2008,9,전체,전체,운수업,79862,548961436,40040482611,72.9
354,2008,9,전체,전체,숙박 및 음식점업 ,521889,1260755944,128191183672,101.7
355,2008,9,전체,전체,"출판영상,방송통신정보서비스업",103486,405299808,33891889927,83.6
356,2008,9,전체,전체,금융 및 보험업 ,15020,176588188,15977714471,90.5
357,2008,9,전체,전체,부동산업 및 임대업 ,575927,2139291627,208306962580,97.4
358,2008,9,전체,전체,"전문, 과학 및 기술 서비스업 ",37004,147214946,13028354290,88.5
359,2008,9,전체,전체,"사업시설관리,사업지원서비스업",22497,44591878,4553537626,102.1
360,2008,9,전체,전체,"공공행정, 국방 및 사회보장 행정",24779,270193547,26081605762,96.5
361,2008,9,전체,전체,교육 서비스업,64800,511744576,42961381635,84.0
362,2008,9,전체,전체,보건업 및 사회복지 서비스업,57835,337074326,30272239888,89.8
363,2008,9,전체,전체,"예술,스포츠및여가관련서비스업",82184,381603745,40877286014,107.1
364,2008,9,전체,전체,"협회단체,수리기타개인서비스업",197293,368529369,42353819864,114.9
365,2008,9,전체,전체,"가구내고용,미분류자가소비생산",846,793510,102529399,129.2
366,2008,9,전체,전체,국제 및 외국기관,250,65436200,5080824398,77.6
367,2008,10,전체,전체,"농업, 임업 및 어업 ",1077637,620068748,28303394396,45.6
368,2008,10,전체,전체,광업 ,2256,118230056,8550402365,72.3
369,2008,10,전체,전체,제조업 ,258475,15565728809,932781104633,59.9
370,2008,10,전체,전체,"전기, 가스, 증기 및 수도사업 ",57321,725967382,51456682430,70.9
371,2008,10,전체,전체,하수폐기처리원료재생환경복원,29497,341632277,23911829332,70.0
372,2008,10,전체,전체,건설업 ,33269,89741041,8976733433,100.0
373,2008,10,전체,전체,도매 및 소매업,705560,1549533821,136728043130,88.2
374,2008,10,전체,전체,운수업,80535,498207652,35005081560,70.3
375,2008,10,전체,전체,숙박 및 음식점업 ,520597,1069950039,95242724858,89.0
376,2008,10,전체,전체,"출판영상,방송통신정보서비스업",104648,380006681,28230249783,74.3
377,2008,10,전체,전체,금융 및 보험업 ,15023,153808414,12801117728,83.2
378,2008,10,전체,전체,부동산업 및 임대업 ,575541,1833305831,163532520737,89.2
379,2008,10,전체,전체,"전문, 과학 및 기술 서비스업 ",36954,134986067,11374770822,84.3
380,2008,10,전체,전체,"사업시설관리,사업지원서비스업",23360,39428083,3763503310,95.5
381,2008,10,전체,전체,"공공행정, 국방 및 사회보장 행정",24906,237441628,20975926749,88.3
382,2008,10,전체,전체,교육 서비스업,64760,471546008,36483174553,77.4
383,2008,10,전체,전체,보건업 및 사회복지 서비스업,58027,291227759,24275748055,83.4
384,2008,10,전체,전체,"예술,스포츠및여가관련서비스업",82168,324686076,26236879183,80.8
385,2008,10,전체,전체,"협회단체,수리기타개인서비스업",197107,340809090,34729151960,101.9
386,2008,10,전체,전체,"가구내고용,미분류자가소비생산",845,734537,83725750,114.0
387,2008,10,전체,전체,국제 및 외국기관,247,50893623,3930559679,77.2
388,2008,11,전체,전체,"농업, 임업 및 어업 ",1619678,950082643,35326183856,37.2
389,2008,11,전체,전체,광업 ,2276,118223622,9788413843,82.8
390,2008,11,전체,전체,제조업 ,258572,14570716698,1026190399439,70.4
391,2008,11,전체,전체,"전기, 가스, 증기 및 수도사업 ",57389,725625527,57090461556,78.7
392,2008,11,전체,전체,하수폐기처리원료재생환경복원,29523,349000372,25796968429,73.9
393,2008,11,전체,전체,건설업 ,33729,105365286,10510289535,99.8
394,2008,11,전체,전체,도매 및 소매업,704760,1500189499,141611531339,94.4
395,2008,11,전체,전체,운수업,81376,512707781,37957254224,74.0
396,2008,11,전체,전체,숙박 및 음식점업 ,520129,1068802786,99426387594,93.0
397,2008,11,전체,전체,"출판영상,방송통신정보서비스업",105521,367431746,29641458528,80.7
